artistName,trackName,msPlayed
Devin Kennedy,Forget About You (Intimate),0
Dhruv,double take,153576
Dhvani Bhanushali,Mehendi,766
Diddy,Another One Of Me (feat. 21 Savage),1408
Diljit Dosanjh,G.O.A.T.,789
Diljit Dosanjh,Kinni Kinni,603
Dirty Pretty Things,Deadwood,1509
Divya Kumar,Sun Saathiya,115937
Dizzy Fae,Play The Video,0
Dj Jhonatan Perú,Dale Moreno,952
Djo,Change,24961
Djo,Chateau (Feel Alright),113174
Djo,End of Beginning,246363
Djo,Slither,0
Doechii,What It Is (Block Boy) (with Kodak Black),2275
Doechii,What It Is (Solo Version),266922
Doja Cat,Agora Hills,265360
Doja Cat,Ain't Shit,198298
Doja Cat,Alone,789
Doja Cat,Attention,15859
Doja Cat,Been Like This,603
Doja Cat,Candy,853
Doja Cat,Demons,12724
Doja Cat,Get Into It (Yuh),168811
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),2133
Doja Cat,Imagine,1184
Doja Cat,Kiss Me More (feat. SZA),412365
Doja Cat,Love To Dream,1066
Doja Cat,Need to Know,192957
Doja Cat,Options (feat. JID),696
Doja Cat,Paint The Town Red,343399
Doja Cat,Rules,30905
Doja Cat,Say So,4179
Doja Cat,So High,952
Doja Cat,Streets,142640
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0
Doja Cat,Wine Pon You (feat. Konshens),4551
Doja Cat,Woman,212300
Doja Cat,You Right,165568
Dolly Parton,9 to 5,859
Dominic Fike,Babydoll,25579
Dominic Fike,misses,1369
Dominique Cerejo,Sooraj Ki Baahon Mein,2995
Don Omar,Danza Kuduro,1021
Don Omar,Dile,371
Dove Cameron,Boyfriend,938
Dove Cameron,Breakfast,58746
Drake,Find Your Love,163631
Drake,"Hold On, We're Going Home",227880
Drake,Hotline Bling,325
Drake,One Dance,2716
Drake,Passionfruit,211940
Drake,Rich Flex,64226
Drake,Toosie Slide,0
Drake,Yebba’s Heartbreak,0
Dream Note,Waqt Ki Baatein,725
Dreamer Isioma,Sensitive,7059
Dua Lipa,Be the One,1996
Dua Lipa,Break My Heart,221820
Dua Lipa,Dance The Night - From Barbie The Album,176579
Dua Lipa,Don't Start Now,172779
Dua Lipa,Houdini,1962
Dua Lipa,Kiss and Make Up,228181
Dua Lipa,Levitating,14698
Dua Lipa,Levitating (feat. DaBaby),194977
Dua Lipa,Training Season,2298
Dua Lipa,We're Good,163328
Dybbukk Covers,I'm Only a Fool for You,1770
EASHA,Dying Is a Beautiful Thing to Do,3014
EASHA,Happy Ending,1021
ENDUZIX,Glorious Time,882
ENHYPEN,Bite Me,1068
ENHYPEN,Polaroid Love,2043
EXO,CALL ME BABY,4411
