,endTime,artistName,trackName,msPlayed
658,2023-08-07 13:09,THE ANXIETY,Entertain,0
659,2023-08-07 13:09,Justin Bieber,Ghost,0
660,2023-08-07 13:09,Sarah Cothran,As the World Caves In,61418
661,2023-08-07 13:09,Glass Animals,Heat Waves,1493
662,2023-08-07 13:09,A-Wall,Loverboy,0
663,2023-08-07 13:09,Lorde,Ribs,5269
664,2023-08-07 13:14,Stacey Ryan,Fall In Love Alone,2880
665,2023-08-07 13:14,Justin Bieber,Die In Your Arms,153002
666,2023-08-07 13:16,Justine Skye,Collide (Sped Up Remix),136234
667,2023-08-07 13:16,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,149
668,2023-08-07 13:17,Kali Uchis,Moonlight,31488
669,2023-08-07 13:21,Julian Casablancas,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",239500
670,2023-08-07 13:22,Alex Turner,Stuck on the puzzle,87380
671,2023-08-08 06:44,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",139520
672,2023-08-08 06:49,Justin Bieber,Die In Your Arms,275221
673,2023-08-08 06:51,Justine Skye,Collide (Sped Up Remix),95253
674,2023-08-08 06:54,Sabrina Carpenter,Nonsense,154048
675,2023-08-08 06:57,Kali Uchis,Moonlight,140330
676,2023-08-08 06:58,Cochise,Tell Em,65045
677,2023-08-08 07:00,Santana,Maria Maria (feat. The Product G&B) - sped up,105365
678,2023-08-08 07:03,Lizzy McAlpine,ceilings,0
679,2023-08-08 07:03,Taylor Swift,Call It What You Want,205560
680,2023-08-08 07:08,Ryan Gosling,I'm Just Ken (From Barbie The Album),271296
681,2023-08-08 07:09,Arctic Monkeys,Knee Socks,1301
682,2023-08-08 07:09,Taylor Swift,Karma,60757
683,2023-08-08 07:10,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,86335
684,2023-08-08 07:13,Lana Del Rey,Venice Bitch,149951
685,2023-08-08 07:16,Lana Del Rey,Fuck it I love you,212138
686,2023-08-08 07:19,SZA,Kill Bill,146773
687,2023-08-08 07:19,Sabrina Carpenter,emails i can’t send,1088
688,2023-08-08 07:23,Clairo,Sofia,554
689,2023-08-08 07:23,Lizzy McAlpine,ceilings,1770
690,2023-08-08 07:23,Olivia Rodrigo,vampire,789
691,2023-08-08 07:23,Lana Del Rey,West Coast,235904
692,2023-08-08 07:23,TV Girl,Blue Hair,1429
693,2023-08-08 07:26,TV Girl,Blue Hair,217000
694,2023-08-08 07:28,Clairo,Sofia,103971
695,2023-08-08 07:31,Sabrina Carpenter,Nonsense,163648
696,2023-08-08 07:31,Hotel Ugly,Shut up My Moms Calling,1633
697,2023-08-08 07:32,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),1151
698,2023-08-08 07:32,Miley Cyrus,Angels Like You,58623
699,2023-08-08 07:32,Lana Del Rey,Radio,2048
700,2023-08-08 07:32,Doechii,What It Is (Solo Version),1151
701,2023-08-08 07:36,Kali Uchis,Melting,200533
702,2023-08-08 07:37,Isabel LaRosa,i'm yours sped up,67733
703,2023-08-08 07:42,Taylor Swift,cardigan,239560
704,2023-08-08 07:45,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386
705,2023-08-08 07:47,SZA,Low,106434
706,2023-08-08 07:48,Cigarettes After Sex,Apocalypse,6762
707,2023-08-08 07:48,PinkPantheress,Boy's a liar Pt. 2,71103
708,2023-08-08 07:51,Sabrina Carpenter,because i liked a boy,182826
709,2023-08-08 07:51,FIFTY FIFTY,Cupid - Twin Ver.,1088
710,2023-08-08 07:51,SZA,Kill Bill - Sped Up Version,2261
711,2023-08-08 07:55,Arctic Monkeys,Knee Socks,257563
712,2023-08-08 08:00,Lana Del Rey,West Coast,256760
713,2023-08-08 08:02,Arctic Monkeys,Why'd You Only Call Me When You're High?,142191
714,2023-08-08 08:06,Franz Ferdinand,Take Me Out,193664
715,2023-08-08 08:09,Alex Turner,Stuck on the puzzle,199381
716,2023-08-08 08:10,Eyedress,Jealous,50368
717,2023-08-08 08:14,Mac DeMarco,Chamber Of Reflection,231723
718,2023-08-08 08:15,Arctic Monkeys,Cornerstone,65120
719,2023-08-08 11:35,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",181973
720,2023-08-08 11:39,Ryan Gosling,I'm Just Ken (From Barbie The Album),218154
721,2023-08-08 11:41,Arctic Monkeys,Baby I'm Yours,152613
722,2023-08-08 12:05,Taylor Swift,Lover,1365
